|                                                 |   apricot-frost-534_exp2_log_39_1.2 |   crisp-meadow-535_exp2_lin_100 |   major-capybara-531_exp1_pos_emb |   noble-glitter-546_exp3_mf10K |   devout-disco-532_exp2_log_20_1.43 |   royal-violet-583_exp2_lin_10000 |   absurd-wildflower-536_exp2_lin_1000 |   hearty-leaf-572_exp7_custom_rassp |   exalted-elevator-545_exp3_mf10 |   devoted-feather-548_exp3_selfies |   hardy-bush-576_exp5_custom_one_src_token |   valiant-galaxy-574_exp7_custom_rassp_neims_nist |   dulcet-cloud-568_exp7_custom_neims |   fresh-haze-530_exp1_int_emb_exp2_log_9_2.2 |   likely-sea-573_exp7_custom_rassp_neims |   balmy-violet-577_exp8_224_148 |   dashing-grass-547_exp3_mf100 |   youthful-wave-590_exp8_9M_448+296 |   gallant-lion-533_exp2_log_29_1.28_exp3_mf10M |   vibrant-armadillo-584_exp8_224_74 |   floral-rain-591_exp8_9M_224+148 |
|:------------------------------------------------|------------------------------------:|--------------------------------:|----------------------------------:|-------------------------------:|------------------------------------:|----------------------------------:|--------------------------------------:|------------------------------------:|---------------------------------:|-----------------------------------:|-------------------------------------------:|--------------------------------------------------:|-------------------------------------:|---------------------------------------------:|-----------------------------------------:|--------------------------------:|-------------------------------:|------------------------------------:|-----------------------------------------------:|------------------------------------:|----------------------------------:|

The Friedman test was SIGNIFICANT -> Nemenyi post-hoc test (similsort):
|                                                 |   apricot-frost-534_exp2_log_39_1.2 |   crisp-meadow-535_exp2_lin_100 |   major-capybara-531_exp1_pos_emb |   noble-glitter-546_exp3_mf10K |   devout-disco-532_exp2_log_20_1.43 |   royal-violet-583_exp2_lin_10000 |   absurd-wildflower-536_exp2_lin_1000 |   hearty-leaf-572_exp7_custom_rassp |   exalted-elevator-545_exp3_mf10 |   devoted-feather-548_exp3_selfies |   hardy-bush-576_exp5_custom_one_src_token |   valiant-galaxy-574_exp7_custom_rassp_neims_nist |   dulcet-cloud-568_exp7_custom_neims |   fresh-haze-530_exp1_int_emb_exp2_log_9_2.2 |   likely-sea-573_exp7_custom_rassp_neims |   balmy-violet-577_exp8_224_148 |   dashing-grass-547_exp3_mf100 |   youthful-wave-590_exp8_9M_448+296 |   gallant-lion-533_exp2_log_29_1.28_exp3_mf10M |   vibrant-armadillo-584_exp8_224_74 |   floral-rain-591_exp8_9M_224+148 |
|:------------------------------------------------|------------------------------------:|--------------------------------:|----------------------------------:|-------------------------------:|------------------------------------:|----------------------------------:|--------------------------------------:|------------------------------------:|---------------------------------:|-----------------------------------:|-------------------------------------------:|--------------------------------------------------:|-------------------------------------:|---------------------------------------------:|-----------------------------------------:|--------------------------------:|-------------------------------:|------------------------------------:|-----------------------------------------------:|------------------------------------:|----------------------------------:|
| apricot-frost-534_exp2_log_39_1.2               |                            1        |                        0.001    |                             0.001 |                       0.001    |                          0.9        |                          0.9      |                             0.9       |                               0.001 |                         0.001    |                              0.001 |                                   0.001    |                                        0.001      |                             0.001    |                                   0.001      |                               0.001      |                      0.001      |                     0.001      |                               0.001 |                                      0.290815  |                          0.001      |                         0.001     |
| crisp-meadow-535_exp2_lin_100                   |                            0.001    |                        1        |                             0.001 |                       0.001    |                          0.001      |                          0.001    |                             0.001     |                               0.001 |                         0.001    |                              0.001 |                                   0.001    |                                        0.001      |                             0.001    |                                   0.116897   |                               0.001      |                      0.001      |                     0.001      |                               0.001 |                                      0.001     |                          0.001      |                         0.001     |
| major-capybara-531_exp1_pos_emb                 |                            0.001    |                        0.001    |                             1     |                       0.001    |                          0.001      |                          0.001    |                             0.001     |                               0.001 |                         0.001    |                              0.001 |                                   0.001    |                                        0.001      |                             0.001    |                                   0.001      |                               0.001      |                      0.001      |                     0.001      |                               0.001 |                                      0.001     |                          0.001      |                         0.001     |
| noble-glitter-546_exp3_mf10K                    |                            0.001    |                        0.001    |                             0.001 |                       1        |                          0.001      |                          0.001    |                             0.001     |                               0.001 |                         0.9      |                              0.001 |                                   0.001    |                                        0.001      |                             0.001    |                                   0.9        |                               0.001      |                      0.001      |                     0.518545   |                               0.001 |                                      0.001     |                          0.001      |                         0.001     |
| devout-disco-532_exp2_log_20_1.43               |                            0.9      |                        0.001    |                             0.001 |                       0.001    |                          1          |                          0.9      |                             0.9       |                               0.001 |                         0.001    |                              0.001 |                                   0.001    |                                        0.001      |                             0.001    |                                   0.001      |                               0.001      |                      0.001      |                     0.00647851 |                               0.001 |                                      0.0644579 |                          0.001      |                         0.001     |
| royal-violet-583_exp2_lin_10000                 |                            0.9      |                        0.001    |                             0.001 |                       0.001    |                          0.9        |                          1        |                             0.9       |                               0.001 |                         0.001    |                              0.001 |                                   0.001    |                                        0.001      |                             0.001    |                                   0.001      |                               0.001      |                      0.001      |                     0.001      |                               0.001 |                                      0.408488  |                          0.001      |                         0.001     |
| absurd-wildflower-536_exp2_lin_1000             |                            0.9      |                        0.001    |                             0.001 |                       0.001    |                          0.9        |                          0.9      |                             1         |                               0.001 |                         0.001    |                              0.001 |                                   0.001    |                                        0.001      |                             0.001    |                                   0.001      |                               0.001      |                      0.001      |                     0.0142045  |                               0.001 |                                      0.0331712 |                          0.001      |                         0.001     |
